From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	WormBase
Q9N5L8	Q9N5L8	unreviewed	Q9N5L8_CAEEL	Uncharacterized protein	CELE_H20J04.7 H20J04.7	Caenorhabditis elegans	337	H20J04.7;
Q9N5M2	Q9N5M2	reviewed	PFD2_CAEEL	Prefoldin subunit 2	pfd-2 tag-355 H20J04.5	Caenorhabditis elegans	141	H20J04.5;
Q9N5N5	Q9N5N5	unreviewed	Q9N5N5_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-6 CELE_H10D18.3 H10D18.3	Caenorhabditis elegans	391	H10D18.3;
Q9N5N7	Q9N5N7	unreviewed	Q9N5N7_CAEEL	CEntrosomal Protein	ccep-135 CELE_H06I04.1 H06I04.1	Caenorhabditis elegans	456	H06I04.1a;
Q9N5S5	Q9N5S5	unreviewed	Q9N5S5_CAEEL	BTB_2 domain-containing protein	CELE_F49H12.3 F49H12.3	Caenorhabditis elegans	146	F49H12.3;
Q9N5S6	Q9N5S6	unreviewed	Q9N5S6_CAEEL	Uncharacterized protein	CELE_F49H12.4 F49H12.4	Caenorhabditis elegans	125	F49H12.4;
Q9N5S7	Q9N5S7	unreviewed	Q9N5S7_CAEEL	ThioredoXin Domain Containing protein homolog	txdc-12.2 CELE_F49H12.5 F49H12.5	Caenorhabditis elegans	257	F49H12.5;
Q9N5T2	Q9N5T2	unreviewed	Q9N5T2_CAEEL	Uncharacterized protein	CELE_F45D11.14 F45D11.14	Caenorhabditis elegans	508	F45D11.14;
Q9N5U2	Q9N5U2	unreviewed	Q9N5U2_CAEEL	Ground-like domain-containing protein	grl-27 CELE_F40C5.3 F40C5.3	Caenorhabditis elegans	139	F40C5.3;
Q9N5U6	Q9N5U6	unreviewed	Q9N5U6_CAEEL	Uncharacterized protein	CELE_F35F11.2 F35F11.2	Caenorhabditis elegans	249	F35F11.2;
Q9N5W4	Q9N5W4	unreviewed	Q9N5W4_CAEEL	Serpentine Receptor, class D (Delta)	srd-67 C39B5.11 CELE_C39B5.11	Caenorhabditis elegans	324	C39B5.11;
Q9N5W5	Q9N5W5	unreviewed	Q9N5W5_CAEEL	Serpentine Receptor, class Z	srz-56 C39B5.1 CELE_C39B5.1	Caenorhabditis elegans	356	C39B5.1;
Q9N5X1	Q9N5X1	unreviewed	Q9N5X1_CAEEL	Serpentine Receptor, class D (Delta)	srd-65 C39B5.12 CELE_C39B5.12	Caenorhabditis elegans	325	C39B5.12;
Q9N5Y0	Q9N5Y0	unreviewed	Q9N5Y0_CAEEL	Uncharacterized protein	C15F1.8 CELE_C15F1.8	Caenorhabditis elegans	166	C15F1.8;
Q9NA41	Q9NA41	unreviewed	Q9NA41_CAEEL	Serpentine Receptor, class J	srj-42 CELE_Y73F8A.3 Y73F8A.3	Caenorhabditis elegans	340	Y73F8A.3;
Q9NA77	Q9NA77	unreviewed	Q9NA77_CAEEL	Uncharacterized protein	tag-276 CELE_Y57A10A.9 Y57A10A.9	Caenorhabditis elegans	158	Y57A10A.9;
Q9NAA4	Q9NAA4	unreviewed	Q9NAA4_CAEEL	Protein PET100 homolog, mitochondrial	CELE_Y53F4B.14 Y53F4B.14	Caenorhabditis elegans	90	Y53F4B.14a;
Q9NAC0	Q9NAC0	unreviewed	Q9NAC0_CAEEL	Uncharacterized protein	CELE_Y53F4B.11 Y53F4B.11	Caenorhabditis elegans	254	Y53F4B.11a;
Q9NAC6	Q9NAC6	unreviewed	Q9NAC6_CAEEL	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	elo-9 CELE_Y53F4B.2 Y53F4B.2	Caenorhabditis elegans	286	Y53F4B.2;
Q9NAE4	Q9NAE4	unreviewed	Q9NAE4_CAEEL	BZIP domain-containing protein	zip-7 CELE_Y51H4A.4 Y51H4A.4	Caenorhabditis elegans	185	Y51H4A.4a;
Q9NAG1	Q9NAG1	unreviewed	Q9NAG1_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-3 CELE_Y48C3A.11 Y48C3A.11	Caenorhabditis elegans	376	Y48C3A.11;
Q9NAJ5	Q9NAJ5	unreviewed	Q9NAJ5_CAEEL	Nematode Specific Peptide family, group E	nspe-5 CELE_Y38E10A.16 Y38E10A.16	Caenorhabditis elegans	74	Y38E10A.16;
Q9NAJ6	Q9NAJ6	unreviewed	Q9NAJ6_CAEEL	Nematode Specific Peptide family, group E	nspe-7 CELE_Y38E10A.15 Y38E10A.15	Caenorhabditis elegans	74	Y38E10A.15;
Q9NAJ8	Q9NAJ8	unreviewed	Q9NAJ8_CAEEL	Nematode Specific Peptide family, group E	nspe-1 CELE_Y38E10A.13 Y38E10A.13	Caenorhabditis elegans	71	Y38E10A.13;
Q9NAJ9	Q9NAJ9	unreviewed	Q9NAJ9_CAEEL	Nematode Specific Peptide family, group E	nspe-3 CELE_Y38E10A.12 Y38E10A.12	Caenorhabditis elegans	72	Y38E10A.12;
Q9NAK0	Q9NAK0	unreviewed	Q9NAK0_CAEEL	Nematode Specific Peptide family, group E	nspe-4 CELE_Y38E10A.11 Y38E10A.11	Caenorhabditis elegans	71	Y38E10A.11;
Q9NAK7	Q9NAK7	unreviewed	Q9NAK7_CAEEL	Uncharacterized protein	CELE_Y38E10A.3 Y38E10A.3	Caenorhabditis elegans	243	Y38E10A.3;
Q9NAM8	Q9NAM8	unreviewed	Q9NAM8_CAEEL	Uncharacterized protein	CELE_Y105C5B.8 Y105C5B.8	Caenorhabditis elegans	360	Y105C5B.8a;
Q9NAN9	Q9NAN9	unreviewed	Q9NAN9_CAEEL	Serpentine Receptor, class T	srt-44 CELE_M199.1 M199.1	Caenorhabditis elegans	329	M199.1;
Q9NEN6	Q9NEN6	reviewed	RS6_CAEEL	40S ribosomal protein S6	rps-6 Y71A12B.1	Caenorhabditis elegans	246	Y71A12B.1a;
Q9NF10	Q9NF10	unreviewed	Q9NF10_CAEEL	Uncharacterized protein	CELE_Y105E8B.6 Y105E8B.6	Caenorhabditis elegans	71	Y105E8B.6;
Q9NF27	Q9NF27	unreviewed	Q9NF27_CAEEL	MFS domain-containing protein	CELE_Y43D4A.4 Y43D4A.4	Caenorhabditis elegans	293	Y43D4A.4a;
Q9NF66	Q9NF66	unreviewed	Q9NF66_CAEEL	F-box domain-containing protein	CELE_Y105C5A.10 Y105C5A.10	Caenorhabditis elegans	46	Y105C5A.10;
Q9NLC7	Q9NLC7	unreviewed	Q9NLC7_CAEEL	Uncharacterized protein	CELE_F58D5.7 F58D5.7	Caenorhabditis elegans	258	F58D5.7;
Q9NLD2	Q9NLD2	unreviewed	Q9NLD2_CAEEL	MARVEL domain-containing protein	CELE_F58D5.2 F58D5.2	Caenorhabditis elegans	188	F58D5.2a;
Q9TXI3	Q9TXI3	unreviewed	Q9TXI3_CAEEL	Doa4-Independent Degradation, homologous to yeast Did2	did-2 CELE_F23C8.6 F23C8.6	Caenorhabditis elegans	205	F23C8.6;
Q9TXJ7	Q9TXJ7	unreviewed	Q9TXJ7_CAEEL	Sperm Specific Transcript	sst-20 CELE_F54C1.9 F54C1.9	Caenorhabditis elegans	231	F54C1.9;
Q9TXJ9	Q9TXJ9	unreviewed	Q9TXJ9_CAEEL	Serpentine Receptor, class T	srt-34 CELE_F54E2.6 F54E2.6	Caenorhabditis elegans	327	F54E2.6;
Q9TXK0	Q9TXK0	unreviewed	Q9TXK0_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F54E2.5 F54E2.5	Caenorhabditis elegans	331	F54E2.5;
Q9TXK5	Q9TXK5	unreviewed	Q9TXK5_CAEEL	Serpentine Receptor, class H	srh-5 CELE_K04F1.16 K04F1.16	Caenorhabditis elegans	333	K04F1.16;
Q9TXK6	Q9TXK6	unreviewed	Q9TXK6_CAEEL	Serpentine Receptor, class H	srh-3 CELE_K04F1.5 K04F1.5	Caenorhabditis elegans	334	K04F1.5;
Q9TXK7	Q9TXK7	unreviewed	Q9TXK7_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-91 CELE_K04F1.4 K04F1.4	Caenorhabditis elegans	367	K04F1.4;
Q9TXK8	Q9TXK8	unreviewed	Q9TXK8_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-98 CELE_K04F1.3 K04F1.3	Caenorhabditis elegans	365	K04F1.3a;
Q9TXM4	Q9TXM4	unreviewed	Q9TXM4_CAEEL	Uncharacterized protein	CELE_F52D2.5 F52D2.5	Caenorhabditis elegans	65	F52D2.5;
Q9TXM5	Q9TXM5	unreviewed	Q9TXM5_CAEEL	Seven TM Receptor	str-79 CELE_F52D2.9 F52D2.9	Caenorhabditis elegans	358	F52D2.9;
Q9TXP8	Q9TXP8	unreviewed	Q9TXP8_CAEEL	INSulin related	B0294.1 CELE_B0294.1	Caenorhabditis elegans	144	B0294.1;
Q9TXQ3	Q9TXQ3	unreviewed	Q9TXQ3_CAEEL	Serpentine Receptor, class H	srh-105 CELE_T27A1.7 T27A1.7	Caenorhabditis elegans	342	T27A1.7;
Q9TXQ6	Q9TXQ6	unreviewed	Q9TXQ6_CAEEL	DUF148 domain-containing protein	CELE_T04G9.7 T04G9.7	Caenorhabditis elegans	131	T04G9.7;
Q9TXS5	Q9TXS5	unreviewed	Q9TXS5_CAEEL	Serpentine Receptor, class J	srj-54 CELE_F37B4.11 F37B4.11	Caenorhabditis elegans	328	F37B4.11;
Q9TXS6	Q9TXS6	unreviewed	Q9TXS6_CAEEL	Seven TM Receptor	str-39 CELE_F37B4.12 F37B4.12	Caenorhabditis elegans	329	F37B4.12;
Q9TXS7	Q9TXS7	unreviewed	Q9TXS7_CAEEL	Ground-like domain-containing protein	grl-31 CELE_T24A6.19 T24A6.19	Caenorhabditis elegans	156	T24A6.19;
Q9TXT1	Q9TXT1	unreviewed	Q9TXT1_CAEEL	Uncharacterized protein	CELE_F53C3.8 F53C3.8	Caenorhabditis elegans	275	F53C3.8;
Q9TXU8	Q9TXU8	unreviewed	Q9TXU8_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-95 CELE_H06H21.2 H06H21.2	Caenorhabditis elegans	381	H06H21.2;
Q9TXU9	Q9TXU9	unreviewed	Q9TXU9_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-94 CELE_H06H21.1 H06H21.1	Caenorhabditis elegans	381	H06H21.1;
Q9TXW2	Q9TXW2	unreviewed	Q9TXW2_CAEEL	Seven TM Receptor	str-66 CELE_Y73C8C.5 Y73C8C.5	Caenorhabditis elegans	331	Y73C8C.5;
Q9TXW3	Q9TXW3	unreviewed	Q9TXW3_CAEEL	Seven TM Receptor	str-68 CELE_Y73C8C.6 Y73C8C.6	Caenorhabditis elegans	337	Y73C8C.6a;
Q9TXW8	Q9TXW8	unreviewed	Q9TXW8_CAEEL	Serpentine Receptor, class T	srt-56 CELE_Y73C8C.9 Y73C8C.9	Caenorhabditis elegans	364	Y73C8C.9;
Q9TXY4	Q9TXY4	unreviewed	Q9TXY4_CAEEL	MS Related Protein	msrp-4 CELE_F46F5.9 F46F5.9	Caenorhabditis elegans	104	F46F5.9;
Q9TXZ1	Q9TXZ1	unreviewed	Q9TXZ1_CAEEL	Uncharacterized protein	CELE_Y44E3A.1 Y44E3A.1	Caenorhabditis elegans	154	Y44E3A.1a;
Q9TY06	Q9TY06	unreviewed	Q9TY06_CAEEL	Uncharacterized protein	ced-13 CELE_R09F10.9 R09F10.9	Caenorhabditis elegans	98	R09F10.9;
Q9TY08	Q9TY08	unreviewed	Q9TY08_CAEEL	t-SNARE coiled-coil homology domain-containing protein	syx-16 CELE_ZC155.7 ZC155.7	Caenorhabditis elegans	329	ZC155.7;
Q9TY27	Q9TY27	unreviewed	Q9TY27_CAEEL	Tyrosine-protein phosphatase	CELE_F47B3.2 F47B3.2	Caenorhabditis elegans	130	F47B3.2;
Q9TYJ3	Q9TYJ3	unreviewed	Q9TYJ3_CAEEL	Uncharacterized protein	CELE_Y49F6C.8 Y49F6C.8	Caenorhabditis elegans	163	Y49F6C.8;
Q9TYK2	Q9TYK2	unreviewed	Q9TYK2_CAEEL	INSulin related	ins-32 CELE_Y8A9A.6 Y8A9A.6	Caenorhabditis elegans	98	Y8A9A.6;
Q9TYK7	Q9TYK7	unreviewed	Q9TYK7_CAEEL	Uncharacterized protein	CELE_Y8A9A.4 Y8A9A.4	Caenorhabditis elegans	107	Y8A9A.4;
Q9TYL5	Q9TYL5	unreviewed	Q9TYL5_CAEEL	Serpentine receptor class gamma	srg-24 CELE_Y25C1A.12 Y25C1A.12	Caenorhabditis elegans	315	Y25C1A.12;
Q9TYL6	Q9TYL6	unreviewed	Q9TYL6_CAEEL	Serpentine receptor class gamma	srg-23 CELE_Y25C1A.11 Y25C1A.11	Caenorhabditis elegans	177	Y25C1A.11;
Q9TYL7	Q9TYL7	unreviewed	Q9TYL7_CAEEL	Serpentine receptor class gamma	srg-22 CELE_Y25C1A.10 Y25C1A.10	Caenorhabditis elegans	328	Y25C1A.10;
Q9TYL8	Q9TYL8	unreviewed	Q9TYL8_CAEEL	Serpentine receptor class gamma	srg-21 CELE_Y25C1A.9 Y25C1A.9	Caenorhabditis elegans	317	Y25C1A.9;
Q9TYN4	Q9TYN4	unreviewed	Q9TYN4_CAEEL	BLOC (Biogenesis of Lysosome-related Organelles Complex) and Related complexes subunit homolog	blos-7 CELE_Y37E11B.3 Y37E11B.3	Caenorhabditis elegans	157	Y37E11B.3a;
Q9TYR4	Q9TYR4	unreviewed	Q9TYR4_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-22 CELE_H04M03.9 H04M03.9	Caenorhabditis elegans	314	H04M03.9;
Q9TYR5	Q9TYR5	unreviewed	Q9TYR5_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-21 CELE_H04M03.8 H04M03.8	Caenorhabditis elegans	317	H04M03.8;
Q9TYR7	Q9TYR7	unreviewed	Q9TYR7_CAEEL	Serpentine Receptor, class V	srv-19 CELE_H04M03.6 H04M03.6	Caenorhabditis elegans	271	H04M03.6;
Q9TYS3	Q9TYS3	unreviewed	Q9TYS3_CAEEL	Ferritin (EC 1.16.3.1)	ftn-2 CELE_D1037.3 D1037.3	Caenorhabditis elegans	170	D1037.3;
Q9TYT8	Q9TYT8	unreviewed	Q9TYT8_CAEEL	Uncharacterized protein	CELE_W05F2.3 W05F2.3	Caenorhabditis elegans	222	W05F2.3;
Q9TYV4	Q9TYV4	unreviewed	Q9TYV4_CAEEL	Uncharacterized protein	CELE_W07E6.5 W07E6.5	Caenorhabditis elegans	135	W07E6.5a;
Q9TYW2	Q9TYW2	unreviewed	Q9TYW2_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_Y55H10A.2 Y55H10A.2	Caenorhabditis elegans	370	Y55H10A.2;
Q9TYW8	Q9TYW8	unreviewed	Q9TYW8_CAEEL	Serpentine Receptor, class Z	srz-32 CELE_W05E7.2 W05E7.2	Caenorhabditis elegans	334	W05E7.2;
Q9TZ00	Q9TZ00	unreviewed	Q9TZ00_CAEEL	Serpentine Receptor, class Z	srz-23 CELE_F58E2.9 F58E2.9	Caenorhabditis elegans	334	F58E2.9;
Q9TZ35	Q9TZ35	unreviewed	Q9TZ35_CAEEL	Uncharacterized protein	CELE_T24C4.4 T24C4.4	Caenorhabditis elegans	155	T24C4.4;
Q9TZ50	Q9TZ50	unreviewed	Q9TZ50_CAEEL	CCDC92 domain-containing protein	CELE_K01A2.10 K01A2.10	Caenorhabditis elegans	257	K01A2.10a;
Q9TZ70	Q9TZ70	reviewed	MXL2_CAEEL	Max-like protein homolog 2	mxl-2 F40G9.11	Caenorhabditis elegans	205	F40G9.11;
Q9TZ73	Q9TZ73	unreviewed	Q9TZ73_CAEEL	WSN domain-containing protein	CELE_F40G9.6 F40G9.6	Caenorhabditis elegans	156	F40G9.6;
Q9TZ84	Q9TZ84	unreviewed	Q9TZ84_CAEEL	Ubiquitin-like domain-containing protein	CELE_F54D10.7 F54D10.7	Caenorhabditis elegans	264	F54D10.7;
Q9TZ90	Q9TZ90	unreviewed	Q9TZ90_CAEEL	Mitochondrial Ribosomal Protein, Large	mrpl-40 CELE_F54C4.1 F54C4.1	Caenorhabditis elegans	189	F54C4.1;
Q9TZA2	Q9TZA2	unreviewed	Q9TZA2_CAEEL	Uncharacterized protein	CELE_E02H9.6 CELE_W04B5.6 E02H9.6 W04B5.6	Caenorhabditis elegans	156	E02H9.6;W04B5.6;
Q9TZB2	Q9TZB2	unreviewed	Q9TZB2_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-22 C29F9.1 CELE_C29F9.1	Caenorhabditis elegans	284	C29F9.1;
Q9TZB4	Q9TZB4	unreviewed	Q9TZB4_CAEEL	Nuclear Hormone Receptor family	nhr-280 C29F9.13 CELE_C29F9.13	Caenorhabditis elegans	143	C29F9.13;
Q9TZC3	Q9TZC3	unreviewed	Q9TZC3_CAEEL	Uncharacterized protein	C29F9.8 CELE_C29F9.8	Caenorhabditis elegans	78	C29F9.8;
Q9TZD1	Q9TZD1	unreviewed	Q9TZD1_CAEEL	Uncharacterized protein	CELE_R160.2 R160.2	Caenorhabditis elegans	81	R160.2;
Q9TZD2	Q9TZD2	unreviewed	Q9TZD2_CAEEL	Uncharacterized protein	CELE_R160.6 R160.6	Caenorhabditis elegans	77	R160.6;
Q9TZD4	Q9TZD4	unreviewed	Q9TZD4_CAEEL	Uncharacterized protein	CELE_R160.4 R160.4	Caenorhabditis elegans	85	R160.4;
Q9TZD5	Q9TZD5	unreviewed	Q9TZD5_CAEEL	Uncharacterized protein	CELE_R160.3 R160.3	Caenorhabditis elegans	148	R160.3;
Q9TZD7	Q9TZD7	unreviewed	Q9TZD7_CAEEL	Serpentine Receptor, class H	srh-128 CELE_Y47G7B.1 Y47G7B.1	Caenorhabditis elegans	337	Y47G7B.1;
Q9TZE0	Q9TZE0	unreviewed	Q9TZE0_CAEEL	MICOS complex subunit MIC13	CELE_W04C9.2 W04C9.2	Caenorhabditis elegans	102	W04C9.2;
Q9TZE4	Q9TZE4	unreviewed	Q9TZE4_CAEEL	Uncharacterized protein	CELE_W04C9.4 W04C9.4	Caenorhabditis elegans	150	W04C9.4;
Q9TZE5	Q9TZE5	unreviewed	Q9TZE5_CAEEL	Uncharacterized protein	CELE_Y54C5A.1 Y54C5A.1	Caenorhabditis elegans	52	Y54C5A.1;
Q9TZE8	Q9TZE8	unreviewed	Q9TZE8_CAEEL	Serpentine Receptor, class I	sri-43 CELE_T10D4.10 T10D4.10	Caenorhabditis elegans	325	T10D4.10;
Q9TZE9	Q9TZE9	unreviewed	Q9TZE9_CAEEL	Serpentine Receptor, class I	sri-42 CELE_T10D4.9 T10D4.9	Caenorhabditis elegans	325	T10D4.9;
Q9TZF0	Q9TZF0	unreviewed	Q9TZF0_CAEEL	Serpentine Receptor, class I	sri-54 CELE_T10D4.8 T10D4.8	Caenorhabditis elegans	335	T10D4.8;
Q9TZL1	Q9TZL1	unreviewed	Q9TZL1_CAEEL	Uncharacterized protein	C08G5.6 CELE_C08G5.6	Caenorhabditis elegans	182	C08G5.6;
Q9TZM1	Q9TZM1	unreviewed	Q9TZM1_CAEEL	Serpentine Receptor, class T	srt-62 CELE_T27C10.2 T27C10.2	Caenorhabditis elegans	321	T27C10.2;
Q9U1P7	Q9U1P7	unreviewed	Q9U1P7_CAEEL	39S ribosomal protein L52, mitochondrial	CELE_Y95D11A.1 Y95D11A.1	Caenorhabditis elegans	144	Y95D11A.1;
Q9U1R9	Q9U1R9	unreviewed	Q9U1R9_CAEEL	Uncharacterized protein	CELE_Y79H2A.2 Y79H2A.2	Caenorhabditis elegans	167	Y79H2A.2a;
Q9U1S3	Q9U1S3	unreviewed	Q9U1S3_CAEEL	Golgi pH Regulator	gphr-1 CELE_Y75B8A.16 Y75B8A.16	Caenorhabditis elegans	465	Y75B8A.16;
Q9U1S9	Q9U1S9	unreviewed	Q9U1S9_CAEEL	RING-type domain-containing protein	CELE_Y6D1A.2 Y6D1A.2	Caenorhabditis elegans	250	Y6D1A.2;
Q9U1V1	Q9U1V1	unreviewed	Q9U1V1_CAEEL	Progestin and AdipoQ Receptor family	paqr-3 CELE_Y67A10A.8 Y67A10A.8	Caenorhabditis elegans	328	Y67A10A.8a;
Q9U1X1	Q9U1X1	unreviewed	Q9U1X1_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srsx-25 CELE_Y62E10A.4 Y62E10A.4	Caenorhabditis elegans	310	Y62E10A.4a;
Q9U1Z4	Q9U1Z4	unreviewed	Q9U1Z4_CAEEL	GOLD domain-containing protein	tmed-4 CELE_Y60A3A.9 Y60A3A.9	Caenorhabditis elegans	211	Y60A3A.9;
Q9U1Z8	Q9U1Z8	unreviewed	Q9U1Z8_CAEEL	Serpentine Receptor, class H	srh-173 CELE_Y60A3A.4 Y60A3A.4	Caenorhabditis elegans	327	Y60A3A.4a;
Q9U1Z9	Q9U1Z9	unreviewed	Q9U1Z9_CAEEL	Serpentine Receptor, class H	srh-171 CELE_Y60A3A.5 Y60A3A.5	Caenorhabditis elegans	311	Y60A3A.5;
Q9U264	Q9U264	unreviewed	Q9U264_CAEEL	Uncharacterized protein	CELE_Y51H4A.6 Y51H4A.6	Caenorhabditis elegans	76	Y51H4A.6;
Q9U269	Q9U269	unreviewed	Q9U269_CAEEL	Uncharacterized protein	CELE_Y51A2A.4 Y51A2A.4	Caenorhabditis elegans	114	Y51A2A.4a;
Q9U281	Q9U281	reviewed	H332_CAEEL	Histone H3.3 type 2	his-72 Y49E10.6	Caenorhabditis elegans	136	Y49E10.6a;
Q9U2F3	Q9U2F3	unreviewed	Q9U2F3_CAEEL	Uncharacterized protein	CELE_Y46G5A.15 Y46G5A.15	Caenorhabditis elegans	304	Y46G5A.15;
Q9U2F6	Q9U2F6	unreviewed	Q9U2F6_CAEEL	Related to yeast Vacuolar Protein Sorting factor	vps-2 CELE_Y46G5A.12 Y46G5A.12	Caenorhabditis elegans	237	Y46G5A.12;
Q9U2G1	Q9U2G1	unreviewed	Q9U2G1_CAEEL	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)	pisy-1 CELE_Y46G5A.5 Y46G5A.5	Caenorhabditis elegans	220	Y46G5A.5;
Q9U2H5	Q9U2H5	unreviewed	Q9U2H5_CAEEL	Serpentine Receptor, class T	srt-48 CELE_Y41E3.15 Y41E3.15	Caenorhabditis elegans	325	Y41E3.15;
Q9U2H7	Q9U2H7	unreviewed	Q9U2H7_CAEEL	Serpentine Receptor, class T	srt-47 CELE_Y41E3.12 Y41E3.12	Caenorhabditis elegans	326	Y41E3.12;
Q9U2J1	Q9U2J1	unreviewed	Q9U2J1_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-47 CELE_Y39G8B.4 Y39G8B.4	Caenorhabditis elegans	372	Y39G8B.4;
Q9U2J4	Q9U2J4	unreviewed	Q9U2J4_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-48 CELE_Y39G8B.3 Y39G8B.3	Caenorhabditis elegans	371	Y39G8B.3;
Q9U2K6	Q9U2K6	unreviewed	Q9U2K6_CAEEL	TetraSPanin family	tsp-3 CELE_Y39E4B.4 Y39E4B.4	Caenorhabditis elegans	223	Y39E4B.4;
Q9U2L3	Q9U2L3	unreviewed	Q9U2L3_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-15 CELE_Y39C12A.7 Y39C12A.7	Caenorhabditis elegans	346	Y39C12A.7;
Q9U2L4	Q9U2L4	unreviewed	Q9U2L4_CAEEL	J domain-containing protein	dnj-26 CELE_Y39C12A.8 Y39C12A.8	Caenorhabditis elegans	365	Y39C12A.8;
Q9U2L5	Q9U2L5	unreviewed	Q9U2L5_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-19 CELE_Y39C12A.6 Y39C12A.6	Caenorhabditis elegans	346	Y39C12A.6;
Q9U2L6	Q9U2L6	unreviewed	Q9U2L6_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-16 CELE_Y39C12A.5 Y39C12A.5	Caenorhabditis elegans	337	Y39C12A.5;
Q9U2N0	Q9U2N0	unreviewed	Q9U2N0_CAEEL	Seven TM Receptor	CELE_Y37H2C.4 Y37H2C.4	Caenorhabditis elegans	283	Y37H2C.4;
Q9U2P2	Q9U2P2	unreviewed	Q9U2P2_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-63 CELE_Y37A1B.10 Y37A1B.10	Caenorhabditis elegans	397	Y37A1B.10;
Q9U2P4	Q9U2P4	unreviewed	Q9U2P4_CAEEL	Serpentine Receptor, class D (Delta)	srd-17 CELE_Y2H9A.2 Y2H9A.2	Caenorhabditis elegans	339	Y2H9A.2;
Q9U2P6	Q9U2P6	unreviewed	Q9U2P6_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-13 CELE_Y26D4A.8 Y26D4A.8	Caenorhabditis elegans	380	Y26D4A.8;
Q9U2Q2	Q9U2Q2	unreviewed	Q9U2Q2_CAEEL	Uncharacterized protein	CELE_Y26D4A.3 Y26D4A.3	Caenorhabditis elegans	115	Y26D4A.3;
Q9U2R3	Q9U2R3	unreviewed	Q9U2R3_CAEEL	MFS domain-containing protein	CELE_Y15E3A.4 Y15E3A.4	Caenorhabditis elegans	469	Y15E3A.4;
Q9U2R7	Q9U2R7	unreviewed	Q9U2R7_CAEEL	Uncharacterized protein	CELE_Y11D7A.10 Y11D7A.10	Caenorhabditis elegans	70	Y11D7A.10a;
Q9U2T3	Q9U2T3	reviewed	Y8CB_CAEEL	Uncharacterized protein Y116A8C.11	Y116A8C.11	Caenorhabditis elegans	281	Y116A8C.11;
Q9U2U2	Q9U2U2	unreviewed	Q9U2U2_CAEEL	Uncharacterized protein	CELE_Y116A8C.29 Y116A8C.29	Caenorhabditis elegans	86	Y116A8C.29;
Q9U2V3	Q9U2V3	unreviewed	Q9U2V3_CAEEL	Nuclear receptor domain-containing protein	nhr-229 CELE_Y116A8C.18 Y116A8C.18	Caenorhabditis elegans	406	Y116A8C.18;
Q9U2X4	Q9U2X4	unreviewed	Q9U2X4_CAEEL	Serpentine Receptor, class BC (Class B-like)	srbc-34 CELE_Y113G7B.9 Y113G7B.9	Caenorhabditis elegans	295	Y113G7B.9;
Q9U2Z3	Q9U2Z3	unreviewed	Q9U2Z3_CAEEL	Serpentine Receptor, class H	srh-233 CELE_Y113G7A.1 Y113G7A.1	Caenorhabditis elegans	325	Y113G7A.1;
Q9U312	Q9U312	unreviewed	Q9U312_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-16 CELE_Y105C5B.10 Y105C5B.10	Caenorhabditis elegans	337	Y105C5B.10;
Q9U316	Q9U316	unreviewed	Q9U316_CAEEL	Serpentine Receptor, class V	srv-14 CELE_Y105C5B.4 Y105C5B.4	Caenorhabditis elegans	330	Y105C5B.4;
Q9U318	Q9U318	unreviewed	Q9U318_CAEEL	Serpentine Receptor, class Z	CELE_Y105C5B.1 Y105C5B.1	Caenorhabditis elegans	311	Y105C5B.1;
Q9U338	Q9U338	unreviewed	Q9U338_CAEEL	Serpentine Receptor, class D (Delta)	srd-21 CELE_W06G6.3 W06G6.3	Caenorhabditis elegans	318	W06G6.3;
Q9U346	Q9U346	unreviewed	Q9U346_CAEEL	Serpentine Receptor, class H	srh-31 CELE_W06D12.7 W06D12.7	Caenorhabditis elegans	333	W06D12.7;
Q9U357	Q9U357	reviewed	PEN2_CAEEL	Gamma-secretase subunit pen-2 (Presenilin enhancer protein 2)	pen-2 T28D6.9	Caenorhabditis elegans	101	T28D6.9;
